pid,parch,sibsp,sex,port,class,age,agegroup,title,survived
1,0,1,m,S,3,22.0,young_adult,Mr,0
2,0,1,f,C,1,38.0,adult,Mrs,1
3,0,0,f,S,3,26.0,young_adult,Miss,1
4,0,1,f,S,1,35.0,adult,Mrs,1
5,0,0,m,S,3,35.0,adult,Mr,0
6,0,0,m,Q,3,,age_unknown,Mr,0
7,0,0,m,S,1,54.0,middle_aged,Mr,0
8,1,3,m,S,3,2.0,child,Master,0
9,2,0,f,S,3,27.0,young_adult,Mrs,1
10,0,1,f,C,2,14.0,adolecent,Mrs,1
11,1,1,f,S,3,4.0,child,Miss,1
12,0,0,f,S,1,58.0,middle_aged,Miss,1
13,0,0,m,S,3,20.0,young_adult,Mr,0
14,5,1,m,S,3,39.0,adult,Mr,0
15,0,0,f,S,3,14.0,adolecent,Miss,0
16,0,0,f,S,2,55.0,middle_aged,Mrs,1
17,1,4,m,Q,3,2.0,child,Master,0
18,0,0,m,S,2,,age_unknown,Mr,1
19,0,1,f,S,3,31.0,adult,Mrs,0
20,0,0,f,C,3,,age_unknown,Mrs,1
21,0,0,m,S,2,35.0,adult,Mr,0
22,0,0,m,S,2,34.0,adult,Mr,1
23,0,0,f,Q,3,15.0,adolecent,Miss,1
24,0,0,m,S,1,28.0,young_adult,Mr,1
25,1,3,f,S,3,8.0,child,Miss,0
26,5,1,f,S,3,38.0,adult,Mrs,1
27,0,0,m,C,3,,age_unknown,Mr,0
28,2,3,m,S,1,19.0,adolecent,Mr,0
29,0,0,f,Q,3,,age_unknown,Miss,1
30,0,0,m,S,3,,age_unknown,Mr,0
31,0,0,m,C,1,40.0,middle_aged,Don,0
32,0,1,f,C,1,,age_unknown,Mrs,1
33,0,0,f,Q,3,,age_unknown,Miss,1
34,0,0,m,S,2,66.0,early_old,Mr,0
35,0,1,m,C,1,28.0,young_adult,Mr,0
36,0,1,m,S,1,42.0,middle_aged,Mr,0
37,0,0,m,C,3,,age_unknown,Mr,1
38,0,0,m,S,3,21.0,young_adult,Mr,0
39,0,2,f,S,3,18.0,adolecent,Miss,0
40,0,1,f,C,3,14.0,adolecent,Miss,1
41,0,1,f,S,3,40.0,middle_aged,Mrs,0
42,0,1,f,S,2,27.0,young_adult,Mrs,0
43,0,0,m,C,3,,age_unknown,Mr,0
44,2,1,f,C,2,3.0,child,Miss,1
45,0,0,f,Q,3,19.0,adolecent,Miss,1
46,0,0,m,S,3,,age_unknown,Mr,0
47,0,1,m,Q,3,,age_unknown,Mr,0
48,0,0,f,Q,3,,age_unknown,Miss,1
49,0,2,m,C,3,,age_unknown,Mr,0
50,0,1,f,S,3,18.0,adolecent,Mrs,0
51,1,4,m,S,3,7.0,child,Master,0
52,0,0,m,S,3,21.0,young_adult,Mr,0
53,0,1,f,C,1,49.0,middle_aged,Mrs,1
54,0,1,f,S,2,29.0,young_adult,Mrs,1
55,1,0,m,C,1,65.0,early_old,Mr,0
56,0,0,m,S,1,,age_unknown,Mr,1
57,0,0,f,S,2,21.0,young_adult,Miss,1
58,0,0,m,C,3,28.5,young_adult,Mr,0
59,2,1,f,S,2,5.0,child,Miss,1
60,2,5,m,S,3,11.0,adolecent,Master,0
61,0,0,m,C,3,22.0,young_adult,Mr,0
62,0,0,f,N,1,38.0,adult,Miss,1
63,0,1,m,S,1,45.0,middle_aged,Mr,0
64,2,3,m,S,3,4.0,child,Master,0
65,0,0,m,C,1,,age_unknown,Mr,0
66,1,1,m,C,3,,age_unknown,Master,1
67,0,0,f,S,2,29.0,young_adult,Mrs,1
68,0,0,m,S,3,19.0,adolecent,Mr,0
69,2,4,f,S,3,17.0,adolecent,Miss,1
